Actual Price,Predicted Price
17210.399999999998,16836.81792373955
17778.6,16997.358329492807
17796.4,17562.981512999533
17356.1,17840.606198641657
16629.6,17287.126080596445
16777.1,16514.155127644535
16741.1,16570.353143143653
16441.3,16470.0892898947
16902.8,16188.312030804156
16831.8,16550.630052420496
16820.599999999995,16788.134607228636
16779.1,16833.150942257045
16837.2,16749.642189374565
16831.8,16563.023535263535
16918.1,16593.451424661278
16706.1,16779.32535925507
16546.2,16635.962497103214
16636.399999999998,16379.056039083003
16607.199999999997,16511.090236648914
16537.4,16498.681511008737
16618.4,16262.11112191081
16674.299999999996,16372.391670420766
16674.2,16532.8406193912
16852.099999999995,16591.89012672603
16829.8,16790.909885078665
16950.9,16751.79904516935
16943.6,16846.779091668126
17119.0,16809.79244441688
17180.1,16955.245747318862
17439.099999999995,17068.828538951275
17942.3,17318.579592487215
18851.299999999996,17933.10711306333
19927.0,18901.486370217797
20958.2,20101.832691735028
20879.8,21282.089006626604
21184.199999999997,21277.67295054197
21137.1,21327.741184049843
20670.599999999995,21221.05902443528
21081.2,20709.91795297861
22677.199999999997,20946.960868787763
22775.699999999997,22634.68474102616
22707.799999999996,23174.12297659516
22915.499999999996,23051.128846502303
22632.5,23001.26094689965
23055.099999999995,22562.08329826593
23015.999999999996,22896.06822631955
23074.599999999995,23039.24381982088
23027.899999999998,23031.79444710612
23753.1,23206.51827559471
22832.199999999997,23977.309508556125
23125.099999999995,23013.254850703477
23725.6,22721.281249099968
23427.6,23452.676384091374
23431.2,23524.988213706016
23323.799999999996,23474.82199078798
22936.0,23439.71565144062
22761.8,22980.071281337736
23251.7,22730.154734575746
22964.599999999995,23076.786829167602
21792.499999999996,22853.249031621217
21635.0,21699.29525195956
21859.799999999996,21385.709541559216
21786.799999999996,21710.500885397192
21772.6,21667.74483942985
22198.5,21670.471122574803
24327.899999999998,22005.57095236182
23539.599999999995,24289.82169052958
24573.499999999996,24256.74264320135
24631.399999999998,24592.073292487858
24302.899999999998,24756.111920183896
24839.5,24468.347508132454
24450.7,24994.038918226954
24186.6,24611.69512748718
23936.3,24086.18445341587
23191.5,24039.012351363894
